,0
0,PlayStation 2 (PS2)
1,Nintendo DS (DS)
2,Nintendo Switch (NS)
3,Game Boy (GB)
4,PlayStation 4 (PS4)
5,PlayStation (PS)
6,Nintendo Wii (Wii)
7,PlayStation 3 (PS3)
8,Xbox 360 (X360)
9,Game Boy Advance (GBA)
10,PlayStation Portable (PSP)
11,Nintendo 3DS (3DS)
12,Nintendo Entertainment System (NES)
13,Xbox One (XOne)
14,Super Nintendo Entertainment System (SNES)
15,Sega Genesis (GEN)
16,Nintendo 64 (N64)
17,Atari 2600 (2600)
18,PlayStation 5 (PS5)
19,Xbox (XB)
20,GameCube (GC)
21,Sega Master System (MS)
22,Xbox Series X/S (XS)
23,PlayStation Vita (PSV)
24,Nintendo Wii U (WiiU)
25,GameGear (GG)
26,TurboGrafx-16 (TG16)
27,Sega Saturn (SAT)
28,Dreamcast (DC)
29,Famicom Disk System (FDS)
30,Atari 7800 (7800)
31,WonderSwan (WS)
32,Intellivision (Int)
33,N-Gage (NGage)
34,Sega CD (SCD)
35,3DO Interactive Multiplayer (3DO)
36,ColecoVision (CV)
37,Atari Lynx (Lynx)
38,Atari 5200 (5200)
39,CD-i (CDi)
40,Coleco Telstar (CT)
41,Neo Geo (NG)
42,Sega 32X (S32X)
43,Virtual Boy (VB)
44,PC-FX (PCFX)
45,Fairchild Channel F (FCF)
46,Magnavox Odyssey (Odys)
47,Atari Jaguar (AJ)
48,Amiga CD32 (CD32)
49,Gizmondo (GIZ)
50,IQue Player (IQue)
